KanbanID,Part No.,Part ID,Create_date
3745387,XX1700B496,496,29/09/2021 9:52
3745388,XX1700B496,496,29/09/2021 9:52
3745389,XX1700B496,496,29/09/2021 9:52
3745390,XX1700B496,496,29/09/2021 9:52
3745391,XX1700B496,496,29/09/2021 9:52
3745392,XX1700B496,496,29/09/2021 9:52
3745393,XX1700B496,496,29/09/2021 9:52
3745394,XX1700B496,496,29/09/2021 9:52
3745395,XX1700B496,496,29/09/2021 9:52
3745396,XX1700B490,490,29/09/2021 9:52
3745397,XX1700B490,490,29/09/2021 9:52
3745398,XX1700B490,490,29/09/2021 9:52
3745399,XX1700B490,490,29/09/2021 9:52
3745400,XX1700B490,490,29/09/2021 9:52
3745401,XX1700B490,490,29/09/2021 9:52
3745402,XX1700B490,490,29/09/2021 9:52
3745403,XX1700B490,490,29/09/2021 9:52
3745404,XX1700B490,490,29/09/2021 9:52
3745405,XX1700B490,490,29/09/2021 9:52
3745406,XX1700B490,490,29/09/2021 9:52
3745407,XX1700B490,490,29/09/2021 9:52
3745408,XX1700B490,490,29/09/2021 9:52
3745409,XX1700B490,490,29/09/2021 9:52
3745410,XX1700B490,490,29/09/2021 9:52
3745411,XX1700B490,490,29/09/2021 9:52
3745412,XX1700B490,490,29/09/2021 9:52
3745413,XX1700B490,490,29/09/2021 9:52
3745414,XX1700B490,490,29/09/2021 9:52
3745415,XX1700B490,490,29/09/2021 9:52
3745416,XX1700B490,490,29/09/2021 9:52
3745417,XX1700B490,490,29/09/2021 9:52
3745418,XX1700B490,490,29/09/2021 9:52
3745419,XX1700B490,490,29/09/2021 9:52
3745420,XX1700B490,490,29/09/2021 9:52
3745421,XX1700B490,490,29/09/2021 9:52
3745422,XX1700B490,490,29/09/2021 9:52
3745423,XX1700B490,490,29/09/2021 9:52
3745424,XX1700B490,490,29/09/2021 9:52
3745425,XX1700B490,490,29/09/2021 9:52
3745426,XX1700B502,502,29/09/2021 9:52
3745427,XX1700B502,502,29/09/2021 9:52
3745428,XX1700B502,502,29/09/2021 9:52
3745429,XX1700B502,502,29/09/2021 9:52
3745430,XX1700B502,502,29/09/2021 9:52
3745431,XX1700B502,502,29/09/2021 9:52
3745432,XX1700B502,502,29/09/2021 9:52
3745433,XX1700B502,502,29/09/2021 9:52
3745434,XX1700B502,502,29/09/2021 9:52
3745435,XX1700B502,502,29/09/2021 9:52
3745436,XX1700B502,502,29/09/2021 9:52
3745437,XX1700B502,502,29/09/2021 9:52
3745438,XX1700B504,504,29/09/2021 9:52
3745439,XX1700B504,504,29/09/2021 9:52
3745440,XX1700B504,504,29/09/2021 9:52
3745441,XX1700B504,504,29/09/2021 9:52
3745447,XX1700B504,504,29/09/2021 9:52
3745448,XX1700B504,504,29/09/2021 9:52
4008297,XX1700B500,500,29/09/2021 9:52
4008298,XX1700B500,500,29/09/2021 9:52
4008299,XX1700B500,500,29/09/2021 9:52
4008300,XX1700B500,500,29/09/2021 9:52
4008301,XX1700B500,500,29/09/2021 9:52
4008302,XX1700B500,500,29/09/2021 9:52
4008303,XX1700B500,500,29/09/2021 9:52
4008304,XX1700B500,500,29/09/2021 9:52
4008305,XX1700B500,500,29/09/2021 9:52
4008306,XX1700B500,500,29/09/2021 9:52
4008307,XX1700B500,500,29/09/2021 9:52
4008308,XX1700B500,500,29/09/2021 9:52
4008309,XX1700B500,500,29/09/2021 9:52
4008310,XX1700B500,500,29/09/2021 9:52
4008311,XX1700B500,500,29/09/2021 9:52
4008312,XX1700B500,500,29/09/2021 9:52
4008313,XX1700B500,500,29/09/2021 9:52
4008314,XX1700B500,500,29/09/2021 9:52
4008315,XX1700B500,500,29/09/2021 9:52
4008316,XX1700B500,500,29/09/2021 9:52
4008317,XX1700B500,500,29/09/2021 9:52
4008318,XX1700B500,500,29/09/2021 9:52
4008319,XX1700B500,500,29/09/2021 9:52
4008320,XX1700B500,500,29/09/2021 9:52
4008321,XX1700B500,500,29/09/2021 9:52
4008322,XX1700B500,500,29/09/2021 9:52
4008323,XX1700B500,500,29/09/2021 9:52
4008324,XX1700B500,500,29/09/2021 9:52
4008325,XX1700B500,500,29/09/2021 9:52
4008326,XX1700B500,500,29/09/2021 9:52
4008327,XX1700B500,500,29/09/2021 9:52
4008328,XX1700B500,500,29/09/2021 9:52
4008329,XX1700B500,500,29/09/2021 9:52
4008330,XX1700B500,500,29/09/2021 9:52
4008331,XX1700B500,500,29/09/2021 9:52
4008332,XX1700B500,500,29/09/2021 9:52
4008333,XX1700B500,500,29/09/2021 9:52
4008334,XX1700B500,500,29/09/2021 9:52
4008335,XX1700B500,500,29/09/2021 9:52
4008336,XX1700B500,500,29/09/2021 9:52
4008337,XX1700B500,500,29/09/2021 9:52
4008338,XX1700B500,500,29/09/2021 9:52
4008339,XX1700B500,500,29/09/2021 9:52
4008340,XX1700B500,500,29/09/2021 9:52
4008341,XX1700B500,500,29/09/2021 9:52
4008342,XX1700B500,500,29/09/2021 9:52
4008343,XX1700B500,500,29/09/2021 9:52
4008344,XX1700B500,500,29/09/2021 9:52
4008345,XX1700B500,500,29/09/2021 9:52
4008346,XX1700B500,500,29/09/2021 9:52
4008347,XX1700B500,500,29/09/2021 9:52
4008348,XX1700B500,500,29/09/2021 9:52
4008349,XX1700B500,500,29/09/2021 9:52
4008350,XX1700B500,500,29/09/2021 9:52
4008351,XX1700B500,500,29/09/2021 9:52
4008352,XX1700B500,500,29/09/2021 9:52
4008353,XX1700B500,500,29/09/2021 9:52
4008354,XX1700B500,500,29/09/2021 9:52
4008355,XX1700B500,500,29/09/2021 9:52
4008356,XX1700B500,500,29/09/2021 9:52
4008357,XX1700B500,500,29/09/2021 9:52
4008358,XX1700B500,500,29/09/2021 9:52
4008359,XX1700B500,500,29/09/2021 9:52
4008360,XX1700B500,500,29/09/2021 9:52
4008361,XX1700B500,500,29/09/2021 9:52
4008362,XX1700B500,500,29/09/2021 9:52
4008363,XX1700B500,500,29/09/2021 9:52
4008364,XX1700B500,500,29/09/2021 9:52
4008365,XX1700B500,500,29/09/2021 9:52
4008366,XX1700B500,500,29/09/2021 9:52
4008367,XX1700B500,500,29/09/2021 9:52
4008368,XX1700B500,500,29/09/2021 9:52
4008369,XX1700B500,500,29/09/2021 9:52
4008370,XX1700B500,500,29/09/2021 9:52
4008371,XX1700B500,500,29/09/2021 9:52
4008372,XX1700B500,500,29/09/2021 9:52
4008373,XX1700B500,500,29/09/2021 9:52
4008374,XX1700B500,500,29/09/2021 9:52
4008375,XX1700B500,500,29/09/2021 9:52
4008376,XX1700B500,500,29/09/2021 9:52
4008377,XX1700B500,500,29/09/2021 9:52
4008378,XX1700B500,500,29/09/2021 9:52
4008379,XX1700B500,500,29/09/2021 9:52
4008380,XX1700B500,500,29/09/2021 9:52
4008381,XX1700B500,500,29/09/2021 9:52
4008382,XX1700B500,500,29/09/2021 9:52
4008383,XX1700B500,500,29/09/2021 9:52
4008384,XX1700B500,500,29/09/2021 9:52
4008385,XX1700B500,500,29/09/2021 9:52
4008386,XX1700B500,500,29/09/2021 9:52
4008387,XX1700B500,500,29/09/2021 9:52
